Type,Name,ID,es,br
Object,tabNav,//a[(@ng-click='select($event)') and (.='_tabName')],,
Object,captchaImg,//captcha[@captcha-answer='vm.userAccount.captchaAnswer']//img,,
Object,captcha,"//*[@id=""imgCaptcha""]",,
Object,activeTab,//*[@heading='Información básica'],,
Object,RegistrationCustomer,"//a[@href[contains(.,'create-new-account')]]",,
Object,RegistrationProvider,"//a[@href[contains(.,'provider-signup-botton')]]/button",,
Object,CustomerTitle,title,,
Object,CustFirstName,firstName,,
Object,CustomerLastname,lastName,,
Object,CustomerPostalCode,postalCode,,
Object,CustomerMobile,mobile,,
Object,CustomerEmail,email,,
Object,CustomerEmailConfirm,confirmEmail,,
Object,CustomerPassword,artifexPassword,,
Object,CustomerPasswordConfirm,confirmArtifexPassword,,
Object,CustomerTermCheckbox,termsAndConditions,,
Object,CustomerCommercialCheckbox,commercialDisclosures,,
Object,CustomerTermLink,"//*[contains(@oneweb-href,'/conditions-customer')][contains(text(),'Términosycondiciones')]",,
Object,CustomerCommercialLink,"//*[contains(@oneweb-href,'/commercial-disclosure-customer')][contains(text(),'ComunicacionesComerciales')]",,
Object,CustomerCaptchaImage,imgCaptcha,,
Object,CustomerCaptchaAnswer,captchaAnswer,,
Object,CustomerCancelButton,btnCancel,,
Object,CustomerSignupButton,btnSignup,,
Text,tabNav,,,
Text,captchaImg,,,
Text,captcha,,,
Text,activeTab,,,
Text,RegistrationCustomer,,,
Text,RegistrationProvider,,,
Text,CustomerTitle,,,
Text,CustomerFirstName,,,
Text,CustomerLastname,,,
Text,CustomerPostalCode,,,
Text,CustomerMobile,,,
Text,CustomerEmail,,,
Text,CustomerEmailConfirm,,,
Text,CustomerPassword,,,
Text,CustomerPasswordConfirm,,,
Text,CustomerTermCheckbox,,,
Text,CustomerCommercialCheckbox,,,
Text,CustomerTermLink,,,
Text,CustomerCommercialLink,,,
Text,CustomerCaptchaImage,,,
Text,CustomerCaptchaAnswer,,,
Text,CustomerCancelButton,,,
Text,CustomerSignupButton,,,
Text,ProviderTabInformation,,,
Text,ProviderTabCertificate,,,
Text,ProviderTabService,,,
Text,ProviderTabArea,,,
Text,ProviderTabWork,,,
Text,ProviderTabAccount,,,
Text,activeTab,,,
Marker,ProviderTabInformation,Tab informaion,,
Object,Provider_rb_AWPPartic,awpProviderNetwork,,
Object,Provider_txt_companyName,companyName,,
Object,Provider_txt_streetAddress,streetAddress,,
Object,Provider_txt_postalCode,postalCode,,
Object,Provider_ddl_city,city,,
Object,Provider_ddl_province,province,,
Object,Provider_ddl_countryCode,countryCode,,
